False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
False;A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW;True;TeamTrump;20160927011409;;False;3928;8756;http://twitter.com;False;True;122
True;How many Trump products were made overseas? Here’s the complete list. https://t.co/OdJOZeZau0;True;washingtonpost;20160927011313;;False;1656;1563;http://twitter.com;False;False;123
True;There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC;False;;20160927011142;;False;3732;7138;https://about.twitter.com/products/tweetdeck;False;True;124
True;We have to build an economy that works for everyone, not just those at the top. #DebateNight https://t.co/XPTvh4Dovf;False;;20160927011036;;False;2745;6299;https://about.twitter.com/products/tweetdeck;False;True;125
True;Watch live: Hillary takes the stage for the first presidential debate ? https://t.co/FbmDLQp03w #DebateNight;False;;20160927010503;;False;804;2137;https://about.twitter.com/products/tweetdeck;False;True;126
True;Let's do this. #DebateNight https://t.co/NkPEGHzucT;False;;20160927005115;;False;24233;78491;https://about.twitter.com/products/tweetdeck;False;True;127
False;"Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT";False;;20160927004705;;False;16770;31043;https://studio.twitter.com;False;True;128
True;If you're with Hillary, now's the time to show it. Chip in before tonight's debate to have her back: https://t.co/OftmbqRvyQ #DebateNight;False;;20160927003110;;False;1293;4038;https://about.twitter.com/products/tweetdeck;False;True;129
True;"Hillary’s set to take the debate stage at 9pm ET.

Here's where you can watch: https://t.co/DhwVYhlA6K #DebateNight https://t.co/gMJINu5xJi";False;;20160926233421;;False;1231;3435;https://about.twitter.com/products/tweetdeck;False;True;130
False;Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid… https://t.co/hheOvJjvcZ;True;DanScavino;20160926233040;;False;3532;8312;http://twitter.com/download/iphone;False;False;131
False;"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16";False;;20160926223153;;False;19836;57971;http://twitter.com/download/iphone;False;True;132
True;Study: Donald Trump would raise taxes on millions of middle-class families https://t.co/NmTl8m1R1G https://t.co/INemC8Roms;True;oneVoxdotcom;20160926220539;;False;1505;1763;https://about.twitter.com/products/tweetdeck;False;False;133
True;Here are 35 questions Trump still needs to answer. https://t.co/rdMYbHGhwA #DebateNight;False;;20160926215916;;False;1747;2989;https://about.twitter.com/products/tweetdeck;False;True;134
True;Watch this before you watch tonight's debate. #DebateNight https://t.co/vnC4bMrS0Q;False;;20160926203005;;False;5088;9479;https://studio.twitter.com;False;True;135
True;Hillary Clinton has a $10 billion plan to stop the heroin epidemic. Donald Trump has some slogans. https://t.co/tN8jGGWrvn;True;voxdotcom;20160926182134;;False;1218;2365;http://twitter.com;False;False;136
True;"These headlines on Trump's lies are from just one week of his campaign.

Imagine four years of his presidency. https://t.co/FE1hZ7MmR6";False;;20160926180436;;False;3653;6195;https://about.twitter.com/products/tweetdeck;False;False;137
True;Everything you need to know before watching tonight's debate: https://t.co/Z4gcpSDfZa https://t.co/bymTtB2Et7;False;;20160926173825;;False;2070;3514;https://about.twitter.com/products/tweetdeck;False;False;138
True;Tonight, Hillary will debate Trump for the first time. Follow @TheBriefing2016 to make sure he's held accountable to the facts. #DebateNight;False;;20160926163653;;False;2967;6929;https://about.twitter.com/products/tweetdeck;False;True;139
False;#Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, going into #Debates2016;True;KellyannePolls;20160926162931;;False;7925;18329;http://twitter.com/download/iphone;False;True;140
True;A reminder heading into tonight's debate. #DebateNight https://t.co/TwsbBNPOZP;False;;20160926161044;;False;4144;8868;https://about.twitter.com/products/tweetdeck;False;True;141
True;"""Donald Trump is a man who dwells in bigotry, bluster and false promises."" —@NYTimes https://t.co/dGBX93R3PK #DebateNight";False;;20160926154007;;False;2638;5098;https://about.twitter.com/products/tweetdeck;False;True;142
True;This job takes maturity, compassion, and wisdom. Only one candidate has what it takes. #DebateNight https://t.co/TAA1qZUdtq;True;timkaine;20160926152138;;False;2967;7022;http://twitter.com;False;True;143
True;Our daughters deserve better. https://t.co/LJPlFegSTs;False;;20160926143205;;False;7164;14549;https://studio.twitter.com;False;False;144
True;Not a single living president has endorsed Donald Trump. https://t.co/nGXxXTo3NI;False;;20160926131249;;False;5330;9552;https://about.twitter.com/products/tweetdeck;False;False;145
True;Trump can't win tonight's debate by lying to the American people. https://t.co/uRkyip3Rfe;False;;20160926124002;;False;6678;11110;https://studio.twitter.com;False;False;146
True;RT this if you've got Hillary's back tonight. #Debates2016 https://t.co/r66XZWiNJL;False;;20160926120523;;False;28185;29457;https://about.twitter.com/products/tweetdeck;False;True;147
True;When we come together, there's no problem we can't solve and no divide we can't heal. https://t.co/2eutCA4R6C;False;;20160926011515;;False;3467;8058;https://studio.twitter.com;False;False;148
